pitch,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.6,2.0,10.0,partial_33,20,0,0.8125786163522013,10075.0,37133,2424240.0,685.7000000000874,0.2211885342444249
1.6,2.0,10.0,partial_33,20,1,0.6968553459119496,7875.0,33768,2424240.0,725.1000000000963,0.13838535209216643
1.6,2.0,10.0,closed_33,2,0,0.2041522491349481,0.0,1906,242424.00000000003,713.8000000000937,-0.22280207673242125
1.6,2.0,10.0,closed_33,2,1,0.1522491349480969,0.0,1318,242424.00000000003,734.8000000000985,-0.2734186380880972
1.6,2.0,10.0,closed_33,5,0,0.31141868512110726,175.0,4278,606060.0,733.2000000000982,-0.12454592213472096
1.6,2.0,10.0,closed_33,5,1,0.47231833910034604,250.0,5843,606060.0,733.6000000000982,0.03607468853479659
1.6,2.0,10.0,closed_33,10,0,0.7352941176470589,4625.0,11555,1212120.0,726.4000000000966,0.20547164985343389
1.6,2.0,10.0,closed_33,10,1,0.6539792387543253,3950.0,13510,1212120.0,721.7000000000955,0.13569319647530106
1.6,2.0,10.0,closed_33,20,0,0.9083044982698962,10300.0,26148,2424240.0,725.6000000000964,0.25592407097432013
1.6,2.0,10.0,closed_33,20,1,0.856401384083045,10125.0,27029,2424240.0,730.7000000000976,0.20714461856391977
