block_size,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
3,4.0,2.0,partial_33,2,1,0.379874213836478,0.0,2150,242424.00000000003,704.6000000000917,-0.027620801570446024
3,4.0,2.0,partial_33,5,0,0.9484276729559749,7150.0,5775,606060.0,700.8000000000908,0.4307041282997034
3,4.0,2.0,partial_33,5,1,0.4867924528301887,1150.0,4601,606060.0,720.1000000000952,0.04826537988867205
3,4.0,2.0,partial_33,10,0,0.7672955974842768,2925.0,7535,1212120.0,728.000000000097,0.3011679812826483
3,4.0,2.0,partial_33,10,1,0.8427672955974843,3400.0,8439,1212120.0,729.5000000000973,0.3690681849199756
3,4.0,2.0,partial_33,20,0,1.0,9950.0,8106,938922.9003895847,271.59999999999326,0.520661850826094
3,4.0,2.0,partial_33,20,1,1.0,12925.0,2939,233287.26931008883,60.30000000000059,0.5548781361113775
3,4.0,2.0,closed_33,2,0,0.28719723183391005,0.0,720,242424.00000000003,719.100000000095,-0.1010395376669678
3,4.0,2.0,closed_33,2,1,0.1903114186851211,0.0,1626,242424.00000000003,733.5000000000982,-0.23512380916946157
3,4.0,2.0,closed_33,5,0,0.6833910034602076,300.0,2135,606060.0,733.6000000000982,0.27955612997737267
3,4.0,2.0,closed_33,5,1,0.5709342560553633,325.0,3042,606060.0,733.6000000000982,0.14910183737161034
3,4.0,2.0,closed_33,10,0,0.9290657439446367,4325.0,4810,1212120.0,733.0000000000981,0.42495795628085953
3,4.0,2.0,closed_33,10,1,0.7577854671280276,3425.0,5791,1212120.0,734.2000000000984,0.26332863504034065
3,4.0,2.0,closed_33,20,0,0.9775086505190311,7950.0,8153,2424240.0,734.0000000000983,0.38745483565138394
3,4.0,2.0,closed_33,20,1,0.9913494809688581,8225.0,8839,2424240.0,732.700000000098,0.3944077092517131
3,4.0,5.0,open_33,2,0,0.32882414151925077,1075.0,5175,242424.00000000003,601.8000000000683,-0.11177920527055082
3,4.0,5.0,open_33,2,1,0.36212278876170656,0.0,5247,242424.00000000003,604.4000000000689,-0.06366213825646441
3,4.0,5.0,open_33,5,0,0.4755463059313215,1375.0,13564,606060.0,605.6000000000691,0.023710436360555892
3,4.0,5.0,open_33,5,1,1.0,6925.0,6575,330766.16619169473,330.3000000000066,0.5729512630939636
3,4.0,5.0,open_33,10,0,1.0,11150.0,5132,270207.5271247772,134.79999999999663,0.5758868615134396
3,4.0,5.0,open_33,10,1,1.0,11975.0,7505,368929.14562365715,184.09999999999383,0.540558024251453
3,4.0,5.0,open_33,20,0,1.0,15125.0,3722,210404.8177789487,52.400000000000475,0.5601607028189544
