lane_spacing,attract_gain,drone_repel_gain,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,1.0,2.0,closed_33,5,0,0.18166089965397925,400.0,5856,606060.0,724.0000000000961,-0.2658036947966472
1.0,1.0,2.0,closed_33,5,1,0.4100346020761246,1750.0,6722,606060.0,725.3000000000964,-0.060525037100092854
1.0,1.0,2.0,closed_33,10,0,0.6643598615916955,4125.0,13336,1212120.0,728.300000000097,0.14267178019667245
1.0,1.0,2.0,closed_33,10,1,0.6228373702422145,5875.0,13095,1212120.0,727.5000000000969,0.06444736331151249
1.0,1.0,2.0,closed_33,20,0,0.7802768166089965,7675.0,25122,2424240.0,733.5000000000982,0.18178054793438495
1.0,1.0,2.0,closed_33,20,1,0.9653979238754326,9700.0,27106,2424240.0,728.5000000000971,0.32562058204245425
1.0,1.0,5.0,open_33,2,0,0.5202913631633714,2125.0,3694,242424.00000000003,639.3000000000768,0.08507743831061362
1.0,1.0,5.0,open_33,2,1,0.9157127991675338,4400.0,3353,242424.00000000003,628.3000000000743,0.47869270229394445
1.0,1.0,5.0,open_33,5,0,0.4630593132154006,7275.0,9864,606060.0,651.4000000000796,-0.059278153591428046
1.0,1.0,5.0,open_33,5,1,0.5005202913631633,7625.0,9832,606060.0,651.4000000000796,-0.025145423669820283
1.0,1.0,5.0,open_33,10,0,0.7440166493236212,12375.0,19592,1212120.0,665.9000000000829,0.15560853011715872
1.0,1.0,5.0,open_33,10,1,1.0,20575.0,18624,1123709.9888362074,598.6000000000676,0.3238916666148334
1.0,1.0,5.0,open_33,20,0,1.0,21550.0,10585,656751.7827463984,175.19999999999433,0.4167434939232704
1.0,1.0,5.0,open_33,20,1,1.0,20775.0,9994,614949.3687225175,163.89999999999498,0.430258706808566
1.0,1.0,5.0,partial_33,2,0,0.2880503144654088,1325.0,3701,242424.00000000003,664.5000000000825,-0.1589132139485013
1.0,1.0,5.0,partial_33,2,1,0.39245283018867927,1250.0,3630,242424.00000000003,662.6000000000821,-0.04711524654662416
1.0,1.0,5.0,partial_33,5,0,0.5207547169811321,4925.0,9438,606060.0,671.3000000000841,0.01457722723987978
1.0,1.0,5.0,partial_33,5,1,0.5182389937106918,4725.0,9487,606060.0,665.9000000000829,0.014959904257317552
1.0,1.0,5.0,partial_33,10,0,1.0,13925.0,14343,907004.5150941035,491.50000000004326,0.39748156146225244
1.0,1.0,5.0,partial_33,10,1,0.8553459119496856,10975.0,18845,1212120.0,687.2000000000877,0.2556892335526404
1.0,1.0,5.0,partial_33,20,0,1.0,17275.0,12676,811658.1843580119,220.29999999999177,0.4085886334891884
1.0,1.0,5.0,partial_33,20,1,1.0,17425.0,15874,1033076.9998871535,284.79999999999626,0.38973489615839946
1.0,1.0,5.0,closed_33,2,0,0.27854671280276816,0.0,1661,242424.00000000003,719.200000000095,-0.13938840123552923
1.0,1.0,5.0,closed_33,2,1,0.2889273356401384,25.0,2147,242424.00000000003,728.100000000097,-0.13438531885715124
1.0,1.0,5.0,closed_33,5,0,0.17474048442906576,375.0,6607,606060.0,719.300000000095,-0.2729724325101327
1.0,1.0,5.0,closed_33,5,1,0.40657439446366783,2150.0,6445,606060.0,725.3000000000964,-0.07195283596589983
1.0,1.0,5.0,closed_33,10,0,0.6557093425605537,4750.0,13040,1212120.0,728.000000000097,0.12112204174682864
1.0,1.0,5.0,closed_33,10,1,0.7006920415224913,6850.0,13309,1212120.0,727.5000000000969,0.12289262378023239
1.0,1.0,5.0,closed_33,20,0,0.9221453287197232,8450.0,24916,2424240.0,728.9000000000972,0.30855151286810456
1.0,1.0,5.0,closed_33,20,1,0.9048442906574394,10225.0,27392,2424240.0,727.2000000000968,0.2537367432564791
1.0,1.0,10.0,open_33,2,0,0.9073881373569199,4950.0,3322,242424.00000000003,624.1000000000734,0.46350790014177135
1.0,1.0,10.0,open_33,2,1,0.5286160249739854,2300.0,3659,242424.00000000003,640.200000000077,0.09202457143699053
