attract_gain,drone_repel_gain,drone_repel_range,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
1.0,10.0,2.5,partial_33,10,0,1.0,7925.0,4657,331416.4216543678,178.19999999999416,0.58462894327637
1.0,10.0,2.5,partial_33,10,1,1.0,12100.0,3341,243180.39300650777,127.79999999999701,0.5460438748117635
1.0,10.0,2.5,partial_33,20,0,1.0,14575.0,3910,281513.31913730036,75.3,0.5139172358110223
1.0,10.0,2.5,partial_33,20,1,1.0,13475.0,2896,212856.42054744763,56.000000000000526,0.5485377009028289
1.0,10.0,2.5,closed_33,2,0,0.43771626297577854,0.0,2184,242424.00000000003,706.200000000092,0.024416668757021392
1.0,10.0,2.5,closed_33,2,1,0.4688581314878893,25.0,2311,242424.00000000003,714.5000000000939,0.05538187511149115
1.0,10.0,2.5,closed_33,5,0,0.7975778546712803,1900.0,6096,606060.0,718.5000000000948,0.3347790062326892
1.0,10.0,2.5,closed_33,5,1,0.8304498269896193,3075.0,6992,606060.0,715.5000000000941,0.34143650070348497
1.0,10.0,2.5,closed_33,10,0,0.9930795847750865,7775.0,11186,1212120.0,725.4000000000964,0.40185931235239203
1.0,10.0,2.5,closed_33,10,1,1.0,9025.0,7837,656749.1400172703,368.80000000001536,0.4549731342767856
1.0,10.0,2.5,closed_33,20,0,1.0,10075.0,5600,499577.8986517377,140.09999999999633,0.48913123930645924
1.0,10.0,2.5,closed_33,20,1,1.0,11050.0,5215,435301.8644088274,120.9999999999974,0.47458415063890186
1.0,10.0,4.0,open_33,2,0,0.9823100936524454,7775.0,3352,242424.00000000003,634.3000000000757,0.5067010685512129
1.0,10.0,4.0,open_33,2,1,0.11238293444328824,0.0,3785,242424.00000000003,648.3000000000789,-0.32373887963896764
1.0,10.0,4.0,open_33,5,0,1.0,12500.0,7773,505307.72892995086,527.2000000000513,0.45648972584020464
1.0,10.0,4.0,open_33,5,1,0.9947970863683663,11975.0,9351,606060.0,643.2000000000777,0.4286466536414063
1.0,10.0,4.0,open_33,10,0,1.0,14700.0,3680,254845.47874616785,132.39999999999677,0.5481923231980623
1.0,10.0,4.0,open_33,10,1,1.0,13725.0,3812,264127.0682352879,137.69999999999646,0.5575431139286173
1.0,10.0,4.0,open_33,20,0,1.0,17525.0,3251,228768.0616142163,60.40000000000059,0.5359819687988217
1.0,10.0,4.0,open_33,20,1,1.0,18100.0,3496,242690.40032902732,64.00000000000064,0.5242098798992664
1.0,10.0,4.0,partial_33,2,0,0.3320754716981132,100.0,3692,242424.00000000003,668.8000000000835,-0.09385818426167933
1.0,10.0,4.0,partial_33,2,1,0.45534591194968554,300.0,3556,242424.00000000003,665.1000000000827,0.0340913892019096
1.0,10.0,4.0,partial_33,5,0,0.9723270440251572,6775.0,8755,606060.0,677.8000000000856,0.44995723956930644
1.0,10.0,4.0,partial_33,5,1,0.7723270440251573,3375.0,8989,606060.0,683.1000000000868,0.29612070913374167
1.0,10.0,4.0,partial_33,10,0,1.0,9725.0,5116,357380.5768605748,192.19999999999337,0.5509681552974373
1.0,10.0,4.0,partial_33,10,1,0.9974842767295597,10475.0,17946,1212120.0,688.500000000088,0.4076220727341032
1.0,10.0,4.0,partial_33,20,0,1.0,13950.0,4050,287571.11189149786,77.19999999999989,0.5215255059047704
1.0,10.0,4.0,partial_33,20,1,1.0,12875.0,3790,271230.00222515827,72.90000000000013,0.5415170217657588
