elite_fraction,p_crossover,p_mutation,map_label,n_drones,seed,final_coverage,overlap_m2,wasted_visits,energy_used_j,time_to_terminal,score
0.2,0.4,0.3,closed_33,5,1,0.916955017301038,9075.0,6628,606060.0,691.3000000000886,0.30631517699202027
0.2,0.4,0.3,closed_33,10,0,1.0,9225.0,3661,304737.4133869319,164.79999999999492,0.5130688046008913
0.2,0.4,0.3,closed_33,10,1,1.0,10950.0,5627,476221.70564249787,261.79999999999103,0.4438597553355027
0.2,0.4,0.3,closed_33,20,0,1.0,12650.0,4778,394493.4738570275,106.49999999999822,0.4462398892053767
0.2,0.4,0.3,closed_33,20,1,1.0,11175.0,3863,310609.5667784116,83.69999999999952,0.4885311678002823
0.2,0.7,0.05,open_33,2,0,1.0,16025.0,2454,180453.66498995415,446.10000000003294,0.47679719459065145
0.2,0.7,0.05,open_33,2,1,1.0,16500.0,2590,189151.60520714548,468.60000000003805,0.46245007368290564
0.2,0.7,0.05,open_33,5,0,1.0,21825.0,4337,283648.33002030756,278.7999999999949,0.4142852254258357
0.2,0.7,0.05,open_33,5,1,1.0,22075.0,4047,264346.4888177733,259.29999999999046,0.4189148843323022
0.2,0.7,0.05,open_33,10,0,1.0,23175.0,5436,343251.77237071726,168.7999999999947,0.41477773398877166
0.2,0.7,0.05,open_33,10,1,1.0,22625.0,5639,349133.58016914036,171.29999999999455,0.419558481408825
0.2,0.7,0.05,open_33,20,0,1.0,23200.0,7527,445249.8701666612,109.49999999999805,0.417737869522362
0.2,0.7,0.05,open_33,20,1,1.0,23550.0,6596,414789.1853329707,101.49999999999851,0.41936683408019876
0.2,0.7,0.05,partial_33,2,0,0.11949685534591195,0.0,3651,242424.00000000003,671.100000000084,-0.3173394737755213
0.2,0.7,0.05,partial_33,2,1,0.8855345911949686,7375.0,3361,242424.00000000003,656.8000000000808,0.38172511159073863
0.2,0.7,0.05,partial_33,5,0,0.8855345911949686,10025.0,8577,606060.0,681.8000000000865,0.3125255605498667
0.2,0.7,0.05,partial_33,5,1,0.9987421383647799,18125.0,9291,606060.0,657.0000000000808,0.30433202474979437
0.2,0.7,0.05,partial_33,10,0,1.0,18975.0,8210,523845.77167478856,271.2999999999932,0.37764517472969694
0.2,0.7,0.05,partial_33,10,1,1.0,17950.0,12704,851445.257663398,461.9000000000365,0.3452605845102875
0.2,0.7,0.05,partial_33,20,0,1.0,19100.0,7730,497759.8343455014,128.499999999997,0.4100164330090174
0.2,0.7,0.05,partial_33,20,1,1.0,18725.0,7067,441566.56627354026,112.0999999999979,0.4213842487681035
0.2,0.7,0.05,closed_33,2,0,0.5570934256055363,0.0,2101,242424.00000000003,709.1000000000927,0.15251691347640348
0.2,0.7,0.05,closed_33,2,1,0.15570934256055363,600.0,2646,242424.00000000003,700.8000000000908,-0.2913234282361035
0.2,0.7,0.05,closed_33,5,0,0.8788927335640139,5300.0,5832,606060.0,701.2000000000909,0.34845154193303474
0.2,0.7,0.05,closed_33,5,1,0.9152249134948097,6125.0,6052,606060.0,701.800000000091,0.36773271545121833
0.2,0.7,0.05,closed_33,10,0,0.9446366782006921,10650.0,11634,1212120.0,717.9000000000947,0.29253324318233054
0.2,0.7,0.05,closed_33,10,1,0.870242214532872,7050.0,12909,1212120.0,717.4000000000946,0.2906821064829387
0.2,0.7,0.05,closed_33,20,0,1.0,13425.0,6441,509750.32601343095,137.39999999999648,0.41561199669474913
0.2,0.7,0.05,closed_33,20,1,1.0,12500.0,5022,414329.61425366485,112.0999999999979,0.44676155057691797
0.2,0.7,0.15,open_33,2,0,1.0,16900.0,2652,196826.47561566948,486.60000000004214,0.4514891148282777
0.2,0.7,0.15,open_33,2,1,1.0,16775.0,2596,193045.99518051062,476.60000000003987,0.45655879122132986
0.2,0.7,0.15,open_33,5,0,1.0,22100.0,4169,275326.14578237035,270.59999999999303,0.41461682768990915
0.2,0.7,0.15,open_33,5,1,1.0,21925.0,4185,278961.0596070243,273.9999999999938,0.4157609953968496
0.2,0.7,0.15,open_33,10,0,1.0,23275.0,5175,328853.565551664,161.6999999999951,0.4171618286391832
0.2,0.7,0.15,open_33,10,1,1.0,22625.0,4862,309741.8781165094,151.79999999999566,0.43008140731533084
0.2,0.7,0.15,open_33,20,0,1.0,23550.0,9512,555929.1953217755,136.39999999999654,0.40033510282150897
0.2,0.7,0.15,open_33,20,1,1.0,23625.0,7583,458000.06076569064,112.2999999999979,0.41144857703797166
0.2,0.7,0.15,partial_33,2,0,0.4477987421383648,1650.0,3539,242424.00000000003,671.7000000000842,0.005868406251093333
0.2,0.7,0.15,partial_33,2,1,0.5333333333333333,3325.0,2728,242424.00000000003,696.1000000000897,0.07905553959284442
